NAICS_TITLE,OCC_TITLE,TOT_EMP,A_MEAN,year
General Medical and Surgical Hospitals,Industry Total,4668670,66540,2018-05-01
General Medical and Surgical Hospitals,Management Occupations,165370,126500,2018-05-01
General Medical and Surgical Hospitals,Top Executives,12160,180800,2018-05-01
General Medical and Surgical Hospitals,Chief Executives,3070,248400,2018-05-01
General Medical and Surgical Hospitals,General and Operations Managers,9090,157970,2018-05-01
General Medical and Surgical Hospitals,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",4160,130520,2018-05-01
General Medical and Surgical Hospitals,Marketing and Sales Managers,1950,133190,2018-05-01
General Medical and Surgical Hospitals,Marketing Managers,1810,132870,2018-05-01
General Medical and Surgical Hospitals,Sales Managers,140,137430,2018-05-01
General Medical and Surgical Hospitals,Public Relations and Fundraising Managers,2190,128370,2018-05-01
General Medical and Surgical Hospitals,Operations Specialties Managers,31200,127700,2018-05-01
General Medical and Surgical Hospitals,Administrative Services Managers,11340,112210,2018-05-01
General Medical and Surgical Hospitals,Computer and Information Systems Managers,5500,139710,2018-05-01
General Medical and Surgical Hospitals,Financial Managers,7140,148960,2018-05-01
General Medical and Surgical Hospitals,Industrial Production Managers,280,108140,2018-05-01
General Medical and Surgical Hospitals,Purchasing Managers,1130,108600,2018-05-01
General Medical and Surgical Hospitals,"Transportation, Storage, and Distribution Managers",470,102770,2018-05-01
General Medical and Surgical Hospitals,Compensation and Benefits Managers,510,129360,2018-05-01
General Medical and Surgical Hospitals,Human Resources Managers,3610,126920,2018-05-01
General Medical and Surgical Hospitals,Training and Development Managers,1230,126550,2018-05-01
General Medical and Surgical Hospitals,Other Management Occupations,117850,120440,2018-05-01
General Medical and Surgical Hospitals,Construction Managers,450,122450,2018-05-01
General Medical and Surgical Hospitals,Education Administrators,1060,116380,2018-05-01
General Medical and Surgical Hospitals,"Education Administrators, Preschool and Childcare Center/Program",130,65950,2018-05-01
General Medical and Surgical Hospitals,"Education Administrators, Postsecondary",350,132350,2018-05-01
General Medical and Surgical Hospitals,"Education Administrators, All Other",570,117890,2018-05-01
General Medical and Surgical Hospitals,Architectural and Engineering Managers,NA,122320,2018-05-01
General Medical and Surgical Hospitals,Food Service Managers,1460,81020,2018-05-01
General Medical and Surgical Hospitals,Lodging Managers,90,87660,2018-05-01
General Medical and Surgical Hospitals,Medical and Health Services Managers,100680,122790,2018-05-01
General Medical and Surgical Hospitals,Natural Sciences Managers,1610,109100,2018-05-01
General Medical and Surgical Hospitals,"Property, Real Estate, and Community Association Managers",230,113550,2018-05-01
General Medical and Surgical Hospitals,Social and Community Service Managers,2690,89320,2018-05-01
General Medical and Surgical Hospitals,Emergency Management Directors,660,91950,2018-05-01
General Medical and Surgical Hospitals,Miscellaneous Managers,8630,114580,2018-05-01
General Medical and Surgical Hospitals,"Managers, All Other",8630,114580,2018-05-01
