NAICS_TITLE,OCC_TITLE,emp2018,salary2018,emp2013,salary2013,emp2008,salary2008,emp2003,salary2003
General Medical and Surgical Hospitals,Industry Total,4668670,66540,4435040,58240,5096190,51060,4747900,41710
General Medical and Surgical Hospitals,Management Occupations,165370,126500,165370,111770,NA,NA,NA,NA
General Medical and Surgical Hospitals,Top Executives,12160,180800,15480,149510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Chief Executives,3070,248400,3970,209240,NA,NA,NA,NA
General Medical and Surgical Hospitals,General and Operations Managers,9090,157970,11520,128920,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",4160,130520,2940,111230,NA,NA,NA,NA
General Medical and Surgical Hospitals,Marketing and Sales Managers,1950,133190,1420,113150,NA,NA,NA,NA
General Medical and Surgical Hospitals,Marketing Managers,1810,132870,1300,112720,NA,NA,NA,NA
General Medical and Surgical Hospitals,Sales Managers,140,137430,120,117850,NA,NA,NA,NA
General Medical and Surgical Hospitals,Public Relations and Fundraising Managers,2190,128370,1470,109570,NA,NA,NA,NA
General Medical and Surgical Hospitals,Operations Specialties Managers,31200,127700,34750,108580,NA,NA,NA,NA
General Medical and Surgical Hospitals,Administrative Services Managers,11340,112210,11880,94220,NA,NA,NA,NA
General Medical and Surgical Hospitals,Computer and Information Systems Managers,5500,139710,5400,118500,NA,NA,NA,NA
General Medical and Surgical Hospitals,Financial Managers,7140,148960,9990,120750,NA,NA,NA,NA
General Medical and Surgical Hospitals,Industrial Production Managers,280,108140,60,96510,NA,NA,NA,NA
General Medical and Surgical Hospitals,Purchasing Managers,1130,108600,1340,101270,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Transportation, Storage, and Distribution Managers",470,102770,290,95930,NA,NA,NA,NA
General Medical and Surgical Hospitals,Compensation and Benefits Managers,510,129360,680,112450,NA,NA,NA,NA
General Medical and Surgical Hospitals,Human Resources Managers,3610,126920,3810,110160,NA,NA,NA,NA
General Medical and Surgical Hospitals,Training and Development Managers,1230,126550,1310,109250,NA,NA,NA,NA
General Medical and Surgical Hospitals,Other Management Occupations,117850,120440,112190,107560,NA,NA,NA,NA
General Medical and Surgical Hospitals,Construction Managers,450,122450,450,108690,NA,NA,NA,NA
General Medical and Surgical Hospitals,Education Administrators,1060,116380,750,104090,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Education Administrators, Preschool and Childcare Center/Program",130,65950,120,59020,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Education Administrators, Postsecondary",350,132350,210,118870,NA,NA,NA,NA
General Medical and Surgical Hospitals,"Education Administrators, All Other",570,117890,410,109890,NA,NA,NA,NA
General Medical and Surgical Hospitals,Architectural and Engineering Managers,NA,122320,260,113160,NA,NA,NA,NA
